;title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;other;backtracking
2;Towards an Internet of Things Tangible Program Environment Supported by Indigenous African Artefacts;Smith, Andrew Cyrus and Dlodlo, Nomusa and Jere, Nobert;2016;Proceedings of the First African Conference on Human Computer Interaction;0;10.1145/2998581.2998599;According to its advocates, the Internet of Things holds great promise. Great strides have been made to address its security and standardise communication protocols for data exchange in this potentially unlimited network of connected things. However, a dimension that has not yet been adequately addressed is the human component and specifically how the individual selects personal preferences and expresses rules that direct the Internet of Things' behaviour to meet the individual's needs. We propose an approach that requires neither computer literacy nor fine motor skills as are often associated with computer-based configuration mechanisms. By combining certain Gestalt principles of human perception with handcrafted artefacts, we show how a tangible programming environment could be realised with which the Internet of Things can be configured to suit the individual.;0;0;0;0;0;0;1;0;0
8;ARgo: animate everyday object in augmented reality;Park, Byung-Hwa and Oh, Se-Young;2014;Proceedings of the 11th Conference on Advances in Computer Entertainment Technology;0;10.1145/2663806.2663865;We present ARgo(Augmented Reality tamaGOchi), a system for animating an everyday object on a smart device. We focus to interact with every everyday object on the smart device augmented reality(AR) through animating them with animating and gaming contents. We developed a Single-Point-Tap gesture event based object tracking algorithm using a GrabCut, TLD and CamShift tracking hybrid system for a markerless mobile AR application. To make the object seem to have an inherent facial expression, we use Poisson image edit, which is a seamless blending approach. To instill 'life' to an everyday object, we adopted the Tamagotchi storytelling concept. For multi-platform game application purposes and computer vision programming, the AR programming environment was built using the Cocos2d-x game engine and OpenCV. We show the use of our system to animate the everyday object in real environment.;0;0;0;0;0;0;1;0;0
10;Flexel: A Modular Floor Interface for Room-Scale Tactile Sensing;Yoshida, Takatoshi and Okazaki, Narin and Takaki, Ken and Hirose, Masaharu and Kitagawa, Shingo and Inami, Masahiko;2022;Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology;0;10.1145/3526113.3545699;Human environments are physically supported by floors, which prevent people and furniture from gravitational pull. Since our body motions continuously generate vibrations and loads that propagate into the ground, measurement of these expressive signals leads to unobtrusive activity sensing. In this study, we present Flexel, a modular floor interface for room-scale tactile sensing. By paving a room with floor interfaces, our system can immediately begin to infer touch locations, track user locations, recognize foot gestures, and detect object locations. Through a series of exploratory studies, we determined the preferable hardware design that adheres to construction conventions, as well as the optimal sensor density that mediates the trade-off between cost and performance. We summarize our findings into design guidelines that are generalizable to other floor interfaces. Finally, we provide example applications for room-scale tactile sensing enabled by our Flexel system.;0;0;0;0;0;0;1;0;0
11;Wall++: Room-Scale Interactive and Context-Aware Sensing;Zhang, Yang and Yang, Chouchang (Jack) and Hudson, Scott E. and Harrison, Chris and Sample, Alanson;2018;Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems;0;10.1145/3173574.3173847;Human environments are typified by walls, homes, offices, schools, museums, hospitals and pretty much every indoor context one can imagine has walls. In many cases, they make up a majority of readily accessible indoor surface area, and yet they are static their primary function is to be a wall, separating spaces and hiding infrastructure. We present Wall++, a low-cost sensing approach that allows walls to become a smart infrastructure. Instead of merely separating spaces, walls can now enhance rooms with sensing and interactivity. Our wall treatment and sensing hardware can track users' touch and gestures, as well as estimate body pose if they are close. By capturing airborne electromagnetic noise, we can also detect what appliances are active and where they are located. Through a series of evaluations, we demonstrate Wall++ can enable robust room-scale interactive and context-aware applications.;0;0;0;0;0;0;1;0;0
13;MovableBag: Substitutional Robot for Enhancing Immersive Boxing Training with Encountered-Type Haptic;Mendez S., Luis Andres and Ng, Ho Yin and Lim, Zin Yin and Lu, Yi-Jie and Han, Ping-Hsuan;2022;SIGGRAPH Asia 2022 XR;0;10.1145/3550472.3558406;Boxing is a combat sport that involves fierce movement and close body contact between two boxers. In addition to the boxer, the coach is also essential for training. The coach could be injured or too tired to continue consecutive training sessions for many boxers. Thus, we present MovableBag, a substitutional robot that provides room-scale mobility and the ability to carry sport props with an easier tracking setup to simulate the boxing opponent or coach in virtual reality with encountered-type haptic feedback. In addition, we integrate our system with a wireless VR headset and develop a VR boxing application to show the capacity of the device and inform future studies.;0;0;0;0;0;0;1;0;0
14;Tangiball: Dynamic Embodied Tangible Interaction with a Ball in Virtual Reality;Bozgeyikli, Lila and Bozgeyikli, Evren;2019;Companion Publication of the 2019 on Designing Interactive Systems Conference 2019 Companion;0;10.1145/3301019.3323904;Tangible interaction in virtual reality (VR) is known to offer several benefits. Although using tangible objects as controllers in VR is common, incorporating real-life tangible objects for dynamic embodied interactions is not a well-researched area. To that end, we propose a tangible soccer game system (?Tangiball') in room-scale VR, in which users interact with a tangible ball with their feet in real-time by only seeing its virtual representation inside a head mounted display. Tangiball includes a custom-built transparent tangible ball, inside which motion tracking markers are placed using a custom 3D printed attachment. The uniqueness of the Tangiball lies in the dynamic embodied tangible VR interaction it offers. This paper includes the design decisions and iterations, system details and lessons learned. The results of the pilot testing are promising, as users engaged with the Tangiball effortlessly and intuitively and mentioned that it was playful.;0;0;0;0;0;0;1;0;0
17;Ubi-TOUCH: Ubiquitous Tangible Object Utilization through Consistent Hand-object interaction in Augmented Reality;Jain, Rahul and Shi, Jingyu and Duan, Runlin and Zhu, Zhengzhe and Qian, Xun and Ramani, Karthik;2023;Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology;0;10.1145/3586183.3606793;Utilizing everyday objects as tangible proxies for Augmented Reality (AR) provides users with haptic feedback while interacting with virtual objects. Yet, existing methods focus on the attributes of the objects, constraining the possible proxies and yielding inconsistency in user experience. Therefore, we propose Ubi-TOUCH, an AR system that assists users in seeking a wider range of tangible proxies for AR applications based on the hand-object interaction (HOI) they desire. Given the target interaction with a virtual object, the system scans the users’ vicinity and recommends object proxies with similar interactions. Upon user selection, the system simultaneously tracks and maps users’ physical HOI to the virtual HOI, adaptively optimizing object 6 DoF and the hand gesture to provide consistency between the interactions. We showcase promising use cases of Ubi-TOUCH, such as remote tutorials, AR gaming, and Smart Home control. Finally, we evaluate the performance and usability of Ubi-TOUCH with a user study.;0;0;0;0;0;0;1;0;0
18;PAIR: Phone as an Augmented Immersive Reality Controller;Unlu, Arda Ege and Xiao, Robert;2021;Proceedings of the 27th ACM Symposium on Virtual Reality Software and Technology;0;10.1145/3489849.3489878;Immersive head-mounted augmented reality allows users to overlay 3D digital content on a user’s view of the world. Current-generation devices primarily support interaction modalities such as gesture, gaze and voice, which are readily available to most users yet lack precision and tactility, rendering them fatiguing for extended interactions. We propose using smartphones, which are also readily available, as companion devices complementing existing AR interaction modalities. We leverage user familiarity with smartphone interactions, coupled with their support for precise, tactile touch input, to unlock a broad range of interaction techniques and applications - for instance, turning the phone into an interior design palette, touch-enabled catapult or AR-rendered sword. We describe a prototype implementation of our interaction techniques using an off-the-shelf AR headset and smartphone, demonstrate applications, and report on the results of a positional accuracy study.;0;0;0;0;0;0;1;0;0
20;Discovery table exploring the design of tangible and ubiquitous technology for learning in preparatory classrooms;Bod\'{e}n, Marie and Dekker, Andrew and Viller, Stephen;2011;Proceedings of the 23rd Australian Computer-Human Interaction Conference;0;10.1145/2071536.2071543;In this paper we investigate how technologies can be designed to support learning in preparatory classrooms by augmenting existing learning objects. By following an iterative interaction design process of working with teachers and children within the classroom environment, we can better design technologies through the augmentation (rather than replacement) of existing learning activities. Our case study -- the Discovery Table -- uses a variety of technologies to allow everyday plastic symbols of letters and numbers to be placed on a technology augmented table in order to provide visual, audible and tangible feedback to the children. Discovery Table demonstrates a first step towards more fundamental work towards successful design for tangible learning.;0;0;0;0;0;0;1;0;0
21;FarOut Touch: Extending the Range of ad hoc Touch Sensing with Depth Cameras;Shen, Vivian and Spann, James and Harrison, Chris;2021;Proceedings of the 2021 ACM Symposium on Spatial User Interaction;0;10.1145/3485279.3485281;The ability to co-opt everyday surfaces for touch interactivity has been an area of HCI research for several decades. Ideally, a sensor operating in a device (such as a smart speaker) would be able to enable a whole room with touch sensing capabilities. Such a system could allow for software-defined light switches on walls, gestural input on countertops, and in general, more digitally flexible environments. While advances in depth sensors and computer vision have led to step-function improvements in the past, progress has slowed in recent years. We surveyed the literature and found that the very best ad hoc touch sensing systems are able to operate at ranges up to around 1.5 m. This limited range means that sensors must be carefully positioned in an environment to enable specific surfaces for interaction. In this research, we set ourselves the goal of doubling the sensing range of the current state of the art system. To achieve this goal, we leveraged an interesting finger ”denting” phenomena and adopted a marginal gains philosophy when developing our full stack. When put together, these many small improvements compound and yield a significant stride in performance. At 3 m range, our system offers a spatial accuracy of 0.98 cm with a touch segmentation accuracy of 96.1%, in line with prior systems operating at less than half the range. While more work remains to be done to achieve true room-scale ubiquity, we believe our system constitutes a useful advance over prior work.;0;0;0;0;0;0;1;0;0
