title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include
Transparent display interaction without binocular parallax;['Joon Hyub Lee', 'Seok-Hyung Bae', 'Jinyung Jung', 'Hayan Choi'];2012;UIST Adjunct Proceedings '12: Adjunct proceedings of the 25th annual ACM symposium on User interface software and technology;7;https://doi.org/10.1145/2380296.2380340;;0;0;0;0;0;0;0
Adaptive Analog Disparity Model using Ocular Dominance Map;['Sheena Sharma', 'Priti Gupta', 'C. M. Markan'];2015;PerMIn '15: Proceedings of the 2nd International Conference on Perception and Machine Intelligence;0;https://doi.org/10.1145/2708463.2709038;;0;0;0;0;0;0;0
Personally supported dynamic random dot stereogram by measuring binocular parallax;['Shinya Kudo', 'Ryuta Okazaki', 'Taku Hachisu', 'Michi Sato', 'Hiroyuki Kajimoto'];2015;AH '15: Proceedings of the 6th Augmented Human International Conference;1;https://doi.org/10.1145/2735711.2735806;;0;0;0;0;0;0;0
Binocular cursor: enabling selection on transparent displays troubled by binocular parallax;['Joon Hyub Lee', 'Seok-Hyung Bae'];2013;CHI '13: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems;8;https://doi.org/10.1145/2470654.2466433;;0;0;0;0;0;0;0
Stereoscopic Viewing and Monoscopic Touching: Selecting Distant Objects in VR Through a Mobile Device;['Joon Hyub Lee', 'Taegyu Jin', 'Sang-Hyun Lee', 'Seung-Jun Lee', 'Seok-Hyung Bae'];2023;UIST '23: Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology;0;https://doi.org/10.1145/3586183.3606809;;0;0;0;0;0;0;0
Design and evaluation of a 3D video system based on H.264 view coding;['Hari Kalva', 'Lakis Christodoulou', 'Liam M. Mayron', 'Oge Marques', 'Borko Furht'];2006;NOSSDAV '06: Proceedings of the 2006 international workshop on Network and operating systems support for digital audio and video;11;https://doi.org/10.1145/1378191.1378207;;0;0;0;0;0;0;0
3D TV using MPEG-2 and H.264 view coding and autostereoscopic displays;['Lakis Christodoulou', 'Liam M. Mayron', 'Hari Kalva', 'Oge Marques', 'Borko Furht'];2006;MM '06: Proceedings of the 14th ACM international conference on Multimedia;3;https://doi.org/10.1145/1180639.1180747;;0;0;0;0;0;0;0
fVisiOn: interactive glasses-free tabletop 3D images floated by conical screen and modular projector arrays;['Shunsuke Yoshida'];2015;SA '15: SIGGRAPH Asia 2015 Emerging Technologies;9;https://doi.org/10.1145/2818466.2818472;;0;0;0;0;0;0;0
Augmented reality monocular head-up display for depth free image;['Aira Hotta', 'Haruhiko Okumura', 'Takashi Sasaki'];2015;SA '15: SIGGRAPH Asia 2015 Head-Up Displays and their Applications;1;https://doi.org/10.1145/2818406.2818414;;0;0;0;0;0;0;0
Monocular hyperrealistic AR display;['Haruhiko Okumura', 'Takashi Sasaki', 'Aira Hotta', 'Kazumitsu Shinohara'];2015;SA '15: SIGGRAPH Asia 2015 Head-Up Displays and their Applications;1;https://doi.org/10.1145/2818406.2818417;;0;0;0;0;0;0;0
Augmenting spatial skills with semi-immersive interactive desktop displays: do immersion cues matter?;['Erin Treacy Solovey', 'Johanna Okerlund', 'Cassie Hoef', 'Jasmine Davis', 'Orit Shaer'];2015;AH '15: Proceedings of the 6th Augmented Human International Conference;2;https://doi.org/10.1145/2735711.2735797;;0;0;0;0;0;0;0
Optimized Viewport Dependent Streaming of Stereoscopic Omnidirectional Video;['Deepa Naik', 'Igor D. D. Curcio', 'Henri Toukomaa'];2018;PV '18: Proceedings of the 23rd Packet Video Workshop;10;https://doi.org/10.1145/3210424.3210437;;0;0;0;0;0;0;0
Apparent resolution enhancement for near-eye light field display;['Xuyang Wang', 'Yangdong Deng', 'Guiju Zhang', 'Zhihua Wang'];2015;SA '15: SIGGRAPH Asia 2015 Mobile Graphics and Interactive Applications;2;https://doi.org/10.1145/2818427.2818441;;0;0;0;0;0;0;0
2d touching of 3d stereoscopic objects;['Dimitar Valkov', 'Frank Steinicke', 'Gerd Bruder', 'Klaus Hinrichs'];2011;CHI '11: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems;71;https://doi.org/10.1145/1978942.1979142;;0;0;0;0;0;0;0
Gaze+Hold: Eyes-only Direct Manipulation with Continuous Gaze Modulated by Closure of One Eye;['Argenis Ramirez Ramirez Gomez', 'Christopher Clarke', 'Ludwig Sidenmark', 'Hans Gellersen'];2021;ETRA '21 Full Papers: ACM Symposium on Eye Tracking Research and Applications;10;https://doi.org/10.1145/3448017.3457381;;0;0;0;0;0;0;0
Accuracy of interpreting pointing gestures in egocentric view;['Deepak Akkil', 'Poika Isokoski'];2016;UbiComp '16: Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing;15;https://doi.org/10.1145/2971648.2971687;;0;0;0;0;0;0;0
