title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include
A Hybrid Method for Implicit Intention Inference Based on Punished-Weighted Naïve Bayes;Zheng Gao,Shiqian Wu,Zhonghua Wan,Sos Agaian,;2023;IEEE Transactions on Neural Systems and Rehabilitation Engineering;0;https://doi.org/10.1109/TNSRE.2023.3259550;Gaze-based implicit intention inference provides a new human-robot interaction for people with disabilities to accomplish activities of daily living independently. Existing gaze-based intention inference is mainly implemented by the data-driven method without prior object information in intention expression, which yields low inference accuracy. Aiming to improve the inference accuracy, we propose a gaze-based hybrid method by integrating model-driven and data-driven intention inference tailored to disability applications. Specifically, intention is considered as the combination of verbs and nouns. The objects corresponding to the nouns are regarded as intention-interpreting objects and served as prior knowledge, i.e., punished factors. The punished factor considers the object information, i.e., the priority in object selection. Class-specific attribute weighted naïve Bayes model learned through training data is presented to represent the relationship among intentions and objects. An intention inference engine is developed by combining the human prior knowledge, and the data-driven class-specific attribute weighted naïve Bayes model. Computer simulations: (i) verify the contribution of each critical component of the proposed model, (ii) evaluate the inference accuracy of the proposed model, and (iii) show that the proposed method is superior to state-of-the-art intention inference methods in terms of accuracy.;0;0;0;0;0;0;0
A Lack of Restraint: Comparing Virtual Reality Interaction Techniques for Constrained Transport Seating;Graham Wilson,Mark McGill,Daniel Medeiros,Stephen Brewster,;2023;IEEE Transactions on Visualization and Computer Graphics;0;https://doi.org/10.1109/TVCG.2023.3247084;Standalone Virtual Reality (VR) headsets can be used when travelling in cars, trains and planes. However, the constrained spaces around transport seating can leave users with little physical space in which to interact using their hands or controllers, and can increase the risk of invading other passengers' personal space or hitting nearby objects and surfaces. This hinders transport VR users from using most commercial VR applications, which are designed for unobstructed 1-2m 360° home spaces. In this paper, we investigated whether three at-a-distance interaction techniques from the literature could be adapted to support common commercial VR movement inputs and so equalise the interaction capabilities of at-home and on-transport users: Linear Gain, Gaze-Supported Remote Hand, and AlphaCursor. First, we analysed commercial VR experiences to identify the most common movement inputs so that we could create gamified tasks based on them. We then investigated how well each technique could support these inputs from a constrained $50\mathrm{x}50\text{cm}$ space (representative of an economy plane seat) through a user study $(\mathrm{N}=16)$, where participants played all three games with each technique. We measured task performance, unsafe movements (play boundary violations, total arm movement) and subjective experience and compared results to a control ‘at-home’ condition (with unconstrained movement) to determine how similar performance and experience were. Results showed that Linear Gain was the best technique, with similar performance and user experience to the ‘at-home’ condition, albeit at the expense of a high number of boundary violations and large arm movements. In contrast, AlphaCursor kept users within bounds and minimised arm movement, but suffered from poorer performance and experience. Based on the results, we provide eight guidelines for the use of, and research into, at-a-distance techniques and constrained spaces.;0;0;0;0;0;0;0
A Novel Integrated Eye-Tracking System With Stereo Stimuli for 3-D Gaze Estimation;Jinglin Sun,Zhipeng Wu,Han Wang,Peiguang Jing,Yu Liu,;2023;IEEE Transactions on Instrumentation and Measurement;0;https://doi.org/10.1109/TIM.2022.3225009;Eye-tracking technology is increasingly used in applications such as 3-D displays and human–computer interaction (HCI). However, most current eye trackers focus on 2-D point-of-gaze (PoG) estimation and cannot provide accurate gaze depth. Concerning future applications such as HCI with 3-D displays, we propose an integrated binocular eye-tracking device with stereo stimuli to provide highly accurate 3-D PoG estimation. In our device, the 3-D stereo imaging system can provide users with a friendly and immersive 3-D visual experience without wearing any accessories. The eye-capturing system can directly record the users’ eye movements under 3-D stimuli without disturbance, which can realize front views of eye images while ensuring the user’s wide field of view (FOV). A regression-based 3-D eye-tracking model is built based on collected eye movement data under stereo stimuli. Our model estimates users’ 2-D gaze with features defined by eye region landmarks and further estimates 3-D gaze with a multisource feature set constructed by comprehensive eye movement features and disparity features from stereo stimuli. Two test stereo scenes with different depths of field are designed to verify the model’s effectiveness. Experimental results of fourfold cross-validation show that the average error for 2-D gaze estimation was  $0.\mathrm{65}^{\circ} $ . For 3-D gaze estimation, the average errors are 1.69 cm over the workspace volume 50  $\times $  30  $\times $  75 cm3 and 0.14 m over the workspace volume 2.4  $\times $  4.0  $\times $  7.9  $\text{m}^{3}$ . Two preliminary validation experiments also demonstrate that our system has broad application prospects, such as 3-D vision technologies and medical applications related to neurological diseases.;0;0;0;0;0;0;0
A Review of EEG-Based User Authentication: Trends and Future Research Directions;Christos A. Fidas,Dimitrios Lyras,;2023;IEEE Access;0;https://doi.org/10.1109/ACCESS.2023.3253026;"Recently, the use of Electroencephalography (EEG) in scientific research on User Authentication (UA) has led to cutting-edge experiments that seek to identify and authenticate individuals based on their brain activity in particular usage scenarios. Utilizing EEG signals, derived from brain activity, might provide innovative solutions to contemporary security issues in traditional knowledge-based user authentication, including the threat of shoulder surfing. In this review paper, we analyze 108 different EEG-based user authentication experiments based on the following perspectives: a) the user experimental setup, with an emphasis on the applied EEG- protocols; b) the artificial intelligence techniques employed and finally c) the security and privacy preservation aspects. The reviewed papers cover a broad time frame from 1998 to 2022 and include various experimental protocols and algorithms used for classifying EEG signals. Additionally, the majority of the referenced works report findings from multiple experiments that incorporate distinct approaches and configurations. This leads to a discussion on best practices for EEG-based User Authentication and conclusions suggesting future research directions that consists, among others, of considering homomorphically encrypted biometric templates for information leakage prevention through federated learning approaches in decentralized architectures. We anticipate that the present literature review will provide a roadmap for future research by considering efficiently and effective EEG-based User Authentication methods while at the same time preserving privacy.";0;0;0;0;0;0;0
A Survey on Remote Assistance and Training in Mixed Reality Environments;Catarina G. Fidalgo,Yukang Yan,Hyunsung Cho,Maurício Sousa,David Lindlbauer,Joaquim Jorge,;2023;IEEE Transactions on Visualization and Computer Graphics;0;https://doi.org/10.1109/TVCG.2023.3247081;The recent pandemic, war, and oil crises have caused many to reconsider their need to travel for education, training, and meetings. Providing assistance and training remotely has thus gained importance for many applications, from industrial maintenance to surgical telemonitoring. Current solutions such as video conferencing platforms lack essential communication cues such as spatial referencing, which negatively impacts both time completion and task performance. Mixed Reality (MR) offers opportunities to improve remote assistance and training, as it opens the way to increased spatial clarity and large interaction space. We contribute a survey of remote assistance and training in MR environments through a systematic literature review to provide a deeper understanding of current approaches, benefits and challenges. We analyze 62 articles and contextualize our findings along a taxonomy based on degree of collaboration, perspective sharing, MR space symmetry, time, input and output modality, visual display, and application domain. We identify the main gaps and opportunities in this research area, such as exploring collaboration scenarios beyond one-expert-to-one-trainee, enabling users to move across the reality-virtuality spectrum during a task, or exploring advanced interaction techniques that resort to hand or eye tracking. Our survey informs and helps researchers in different domains, including maintenance, medicine, engineering, or education, build and evaluate novel MR approaches to remote training and assistance. All supplemental materials are available at https://augmented-perception.org/publications/2023-training-survey.html.;0;0;0;0;0;0;0
An Effective Head-Based HRI for 6D Robotic Grasping Using Mixed Reality;Chengjie Zhang,Chengyu Lin,Yuquan Leng,Zezheng Fu,Yaoyu Cheng,Chenglong Fu,;2023;IEEE Robotics and Automation Letters;0;https://doi.org/10.1109/LRA.2023.3261701;People with two-arm disabilities need to grasp various densely placed objects in their daily life. However, current arm-free human-robot interfaces (HRIs), such as language-based and gaze-based HRI, are difficult to effectively control the robotic arm to complete the above task. To achieve this task effectively, we innovatively propose an arm-free HRI based on Mixed Reality (MR) feedback and head control, which enables people to give full play to their intelligence in correcting robot perception errors and determining grasp decision-making. MR feedback makes 3D visualization of robot perception results and virtual grippers aligned with real grippers. Head control ensures these disabled people can flexibly and effectively control the gripper's 6D pose. In experiments, we densely place 15 objects of different sizes and shapes from daily life, including transparent and specular objects, such as a measuring tape, transparent bottles, and a charging head, which are grasped by 10 subjects using our HRI. Our experiment results and comparison results show that our HRI can more effectively complete the task, has the adaptability for unseen object grasping, and has high point cloud error tolerance.;0;0;0;0;0;0;0
Automated Eye Movement Classification Based on EMG of EOM Signals Using FBSE-EWT Technique;Sibghatullah Inayatullah Khan,Ram Bilas Pachori,;2023;IEEE Transactions on Human-Machine Systems;0;https://doi.org/10.1109/THMS.2023.3238113;The accurate automated eye movement classification is gaining importance in the field of human–computer interaction (HCI). The present article aims at the classification of six types of eye movements from electromyogram (EMG) of extraocular muscles (EOM) signals using the Fourier–Bessel series expansion-based empirical wavelet transform (FBSE-EWT) with time and frequency-domain (TAFD) features. The FBSE-EWT of EMG signals results in Fourier–Bessel intrinsic mode functions (FBIMFs), which correspond to the frequency contents in the signal. A hybrid approach is used to select the prominent FBIMFs followed by the statistical and signal complexity-based feature extraction. Furthermore, metaheuristic optimization algorithms are employed to reduce the feature space dimension. The discrimination ability of the reduced feature set is verified by Kruskal–Wallis statistical test. Multiclass support vector machine (MSVM) has been employed for classification. First, the classification has been performed with TAFD features followed by the combination of TAFD and FBSE-EWT-based reduced feature set. The combination of TAFD and FBSE-EWT-based feature set has provided good classification performance. This study demonstrates the efficacy of FBSE-EWT and subsequent metaheuristic feature selection algorithms in classifying the eye movements from EMG of EOM signals. The combination of TAFD and the selected features through salp swarm optimization algorithm has provided maximum classification accuracy of 98.91% with MSVM employing Gaussian and radial basis function kernels. Thus, the proposed approach has the potential to be used in HCI applications involving biomedical signals.;0;0;0;0;0;0;0
Brain Network Reorganization During Visual Search Task Revealed by a Network Analysis of Fixation-Related Potential;Linze Qian,Xianliang Ge,Zhao Feng,Sujie Wang,Jingjia Yuan,Yunxian Pan,Hongqi Shi,Jie Xu,Yu Sun,;2023;IEEE Transactions on Neural Systems and Rehabilitation Engineering;1;https://doi.org/10.1109/TNSRE.2023.3242771;Visual search is ubiquitous in daily life and has attracted substantial research interest over the past decades. Although accumulating evidence has suggested complex neurocognitive processes underlying visual search, the neural communication across the brain regions remains poorly understood. The present work aimed to fill this gap by investigating functional networks of fixation-related potential (FRP) during the visual search task. Multi-frequency electroencephalogram (EEG) networks were constructed from 70 university students (male/female = 35/35) using FRPs time-locked to target and non-target fixation onsets, which were determined by concurrent eye-tracking data. Then graph theoretical analysis (GTA) and a data-driven classification framework were employed to quantitatively reveal the divergent reorganization between target and non-target FRPs. We found distinct network architectures between target and non-target mainly in the delta and theta bands. More importantly, we achieved a classification accuracy of 92.74% for target and non-target discrimination using both global and nodal network features. In line with the results of GTA, we found that the integration corresponding to target and non-target FRPs significantly differed, while the nodal features contributing most to classification performance primarily resided in the occipital and parietal-temporal areas. Interestingly, we revealed that females exhibited significantly higher local efficiency in delta band when focusing on the search task. In summary, these results provide some of the first quantitative insights into the underlying brain interaction patterns during the visual search process.;0;0;0;0;0;0;0
CEAP-360VR: A Continuous Physiological and Behavioral Emotion Annotation Dataset for 360$^\circ$ VR Videos;Tong Xue,Abdallah El Ali,Tianyi Zhang,Gangyi Ding,Pablo Cesar,;2023;IEEE Transactions on Multimedia;6;https://doi.org/10.1109/TMM.2021.3124080;"Watching 360$^\circ$ videos using Virtual Reality (VR) head-mounted displays (HMDs) provides interactive and immersive experiences, where videos can evoke different emotions. Existing emotion self-report techniques within VR however are either retrospective or interrupt the immersive experience. To address this, we introduce the Continuous Physiological and Behavioral Emotion Annotation Dataset for 360$^\circ$ Videos (CEAP-360VR). We conducted a controlled study (N=32) where participants used a Vive Pro Eye HMD to watch eight validated affective 360$^\circ$ video clips, and annotated their valence and arousal (V-A) continuously. We collected (a) behavioral (head and eye movements; pupillometry) signals (b) physiological (heart rate, skin temperature, electrodermal activity) responses (c) momentary emotion self-reports (d) within-VR discrete emotion ratings (e) motion sickness, presence, and workload. We show the consistency of continuous annotation trajectories and verify their mean V-A annotations. We find high consistency between viewed 360$^\circ$ video regions across subjects, with higher consistency for eye than head movements. We furthermore run baseline classification experiments, where Random Forest classifiers with 2s segments show good accuracies for subject-independent models: 66.80% (V) and 64.26% (A) for binary classification; 49.92% (V) and 52.20% (A) for 3-class classification. Our open dataset allows further experiments with continuous emotion self-reports collected in 360$^\circ$ VR environments, which can enable automatic assessment of immersive Quality of Experience (QoE) andmomentary affective states.";0;0;0;0;0;0;0
Camera Frame Misalignment in a Teleoperated Eye-in-Hand Robot: Effects and a Simple Correction Method;Liao Wu,Fangwen Yu,Thanh Nho Do,Jiaole Wang,;2023;IEEE Transactions on Human-Machine Systems;0;https://doi.org/10.1109/THMS.2022.3217453;Misalignment between the camera frame and the operator frame is commonly seen in a teleoperated system and usually degrades the operation performance. The effects of such misalignment have not been fully investigated for eye-in-hand systems–systems that have the camera (eye) mounted to the end-effector (hand) to gain compactness in confined spaces such as in endoscopic surgery. This article provides a systematic study on the effects of the camera frame misalignment in a teleoperated eye-in-hand robot and proposes a simple correction method in the view display. A simulation is designed to compare the effects of the misalignment under different conditions. Users are asked to move a rigid body from its initial position to the specified target position via teleoperation, with different levels of misalignment simulated. It is found that misalignment between the input motion and the output view is much more difficult to compensate by the operators when it is in the orthogonal direction ($\sim$40 s) compared with the opposite direction ($\sim$20 s). An experiment on a real concentric tube robot with an eye-in-hand configuration is also conducted. Users are asked to telemanipulate the robot to complete a pick-and-place task. Results show that with the correction enabled, there is a significant improvement in the operation performance in terms of completion time (mean 40.6%, median 38.6%), trajectory length (mean 34.3%, median 28.1%), difficulty (50.5%), unsteadiness (49.4%), and mental stress (60.9%).;0;0;0;0;0;0;0
