title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;testitem
"Meyler J.; Ruston D.";0.0;Presbyopia;2023;Contact Lens Practice, Fourth Edition;10.1016/B978-0-7020-8427-0.00022-2;An overview of the optimal approach to fitting presbyopes with contact lenses is described, together with a consideration of contact lens designs available and the optimal fitting approach. The main bifocal types are simultaneous image designs (which may be aspheric or hybrid), alternating (translating) image designs and monovision, which can be enhanced or modified monovision. Patient considerations, initial measurement protocols, lens fitting and lens adjustment are discussed. The percentage of multifocal or monovision contact lenses prescribed for contact lens-wearing presbyopes falls short of what would be required for the proper correction of presbyopia in this cohort. © 2024 Elsevier Ltd. All rights reserved.
"Animali S.; Steinwurzel C.; Dardano A.; Sancho-Bornez V.; Del Prato S.; Morrone M.C.; Daniele G.; Binda P.";0.0;Effect of fasting on short-term visual plasticity in adult humans;2023;European Journal of Neuroscience;10.1111/ejn.15873;Brain plasticity and function is impaired in conditions of metabolic dysregulation, such as obesity. Less is known on whether brain function is also affected by transient and physiological metabolic changes, such as the alternation between fasting and fed state. Here we asked whether these changes affect the transient shift of ocular dominance that follows short-term monocular deprivation, a form of homeostatic plasticity. We further asked whether variations in three of the main metabolic and hormonal pathways affected in obesity (glucose metabolism, leptin signalling and fatty acid metabolism) correlate with plasticity changes. We measured the effects of 2 h monocular deprivation in three conditions: post-absorptive state (fasting), after ingestion of a standardised meal and during infusion of glucagon-like peptide-1 (GLP-1), an incretin physiologically released upon meal ingestion that plays a key role in glucose metabolism. We found that short-term plasticity was less manifest in fasting than in fed state, whereas GLP-1 infusion did not elicit reliable changes compared to fasting. Although we confirmed a positive association between plasticity and supraphysiological GLP-1 levels, achieved by GLP-1 infusion, we found that none of the parameters linked to glucose metabolism could predict the plasticity reduction in the fasting versus fed state. Instead, this was selectively associated with the increase in plasma beta-hydroxybutyrate (B-OH) levels during fasting, which suggests a link between neural function and energy substrates alternative to glucose. These results reveal a previously unexplored link between homeostatic brain plasticity and the physiological changes associated with the daily fast-fed cycle. © 2022 The Authors. European Journal of Neuroscience published by Federation of European Neuroscience Societies and John Wiley & Sons Ltd.
"Dhiman R.; Mahalingam K.; Balakrishnan N.; Kumar A.; Saxena R.; Sihota R.";0.0;Effect of legislation and changing trends of Diwali ocular firecracker injuries in Northern India;2022;Oman Journal of Ophthalmology;10.4103/ojo.ojo_303_21;"OBJECTIVE: The objective of this study is to study the impact of temporary legislation implemented during Diwali on ocular firecracker injuries in Delhi-National Capital Region (NCR) region. MATERIALS AND METHODS: In this retrospective study, records of the patients presenting with ocular firecracker injury during 10 days of Diwali (prediwali, Diwali and 8 days postdiwali) from 2014 to 2019 were retreived from the medical record section. Clinico-demographic profile, relevant history pertaining to the use of firecracker, and details of eye examination, namely presenting visual acuity (VA), laterality and classification of injury based on Birmingham Eye Trauma Terminology System were noted. RESULTS: Six hundred and sixty-seven eyes of 646 patients were recruited. The median age of patients was 14 years (R = 3-65 years) and male: Female ratio was 4.9:1. Majority of patients (57.7%; n = 373) were from outside Delhi. Most of them were open globe injuries (66.8%). In 55.4% (n = 356) eyes, presenting VA was perception of light to finger counting close to face and 28% (n = 180) eyes could not perceive any light. A significant reduction was noted in the number of ocular firecrcaker injuries after regulation (preregulation [2014-2016] n = 456; postregulation [2017-2019] n = 211; [P = 0.01, t-Test]). During preregulation period, presenting VA was worse than 1/60 in significantly higher number of eyes (85.5%; n = 376) than post regulation (78.8%, n = 160) (P = 0.03, Chi-square test). CONCLUSION: Although temporary legislation seems to be effective in reducing ocular firecracker injuries (52.7% reduction) in NCR, uniform implementation of stricter laws nationwide is essential to further minimize the problem. © 2022 Wolters Kluwer Medknow Publications. All rights reserved."
"Olmos J.; Valenzuela B.; Martínez F.";0.0;Quantification of Parkinsonian unilateral involvement from ocular fixational patterns using a deep video representation;2023;Health and Technology;10.1007/s12553-023-00782-y;Purpose: Lateralisation of motor symptoms is a prevalent characteristic of Parkinson’s disease (PD). Hence, unilateral involvement is crucial for personalized treatments and measuring therapy effectiveness. Nonetheless, most motor symptoms, including lateralization, are mainly evident at advanced stages of the disease. Recently, ocular fixation instability emerged as a promising PD biomarker with a high sensitivity to discriminate PD. We hypothesize that unilateral involvement can be recovered from the assessment and quantification of PD-related ocular abnormalities. Methods: This method proposes a computer-based strategy to quantify PD lateralization from ocular fixation patterns. The method follows a markerless strategy fed by slices with spatiotemporal eye movement information. A deep convolutional model was used to discriminate between PD and a control population. Additionally, model prediction probabilities were analyzed to select the dominant eye associated with unilateral involvement. Results: The proposed approach reports an average accuracy of 91.92% classifying PD. Interestingly, using the dominant side, the approach achieves an average PD prediction probability of 93.3% (95% CI: [91.61,95.07]), evidencing capabilities to capture the most affected side. Besides, the reported results strongly correlate with the disease, even for patients categorized at early stages. A low-dimensional projection tool was used to support the classification results by finding a 2d space that eases the discrimination among classes. Conclusions: The strategy is sensitive to detecting and classifying PD fixational patterns and determining the side with major impairments. This approach may be a potential tool to support the characterization of the disease and as an alternative to defining personalized treatments. © 2023, The Author(s).
"Merrick C.; Rosati R.; Filingeri D.";0.0;The visual perception of wetness: Multisensory integration of visual and tactile stimuli;2023;Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine;10.1177/09544119231189105;A multitude of sensory modalities are involved in humans’ experience of wetness, yet we know little of the integratory role of vision. Therefore, the aim was to quantify the effect of physical stain volume, chroma and size on wetness perception, and to compare wetness perception under different sensory conditions, including visuotactile and visual only interactions. Eighteen participants visually observed and/or used their index fingerpad to dynamically interact with stimuli varying in physical wetness (0, 2.16 × 10−4 or 3.45 × 10−4 ml mm−2), stain chroma (clear, light, dark) and stain size (1150 or 5000 mm2). After interaction participants rated wetness perception using a visual analogue scale (very dry to very wet). In visual only conditions participants were able to differentiate between dry and wet stimuli, and could also discriminate between different magnitudes of wetness with the addition of tactile cues. In both visual only and visuotactile conditions greater stain chroma resulted in increased wetness perception. Stain size did not have a significant effect in either condition. These results show that visual cues influence wetness perception (R2 = 0.29), but indicate that visual dominance does not apply in these sensory integrations. Findings are relevant for the design of products with wetness management properties. © IMechE 2023.
"Martino F.; Castro-Torres J.J.; Casares-López M.; Ortiz-Peregrina S.; Granados-Delgado P.; Jiménez J.R.";0.0;Influence of Interocular Differences and Alcohol Consumption on Binocular Visual Performance;2023;International Journal of Environmental Research and Public Health;10.3390/ijerph20031751;The purpose of this study was to assess the influence of a moderate breath–alcohol content (BrAC of 0.40 mg/L) on binocular visual performance for different visual functions after inducing different levels of interocular differences with the use of filters. A total of 26 healthy young subjects were enrolled. The participants participated in two sessions: one without alcohol consumption and another after alcohol consumption. In each session and for the different filter conditions (subjects were wearing Bangerter foil of 0.8 and BPM2 fog filter on the dominant eye), monocular and binocular visual function was evaluated by measuring visual acuity, contrast sensitivity, visual discrimination capacity (and successively by calculating their corresponding binocular summations) and stereopsis (near and distance stereoacuity). In addition, interocular differences were calculated for different retinal–image quality and straylight parameters. All monocular and binocular visual functions were analyzed and stereopsis was significantly impaired by alcohol and filters (p < 0.05). Interocular differences for different ocular parameters and binocular summations for visual parameters were negatively affected by filters but not alcohol. Significant correlations (averaging all the experimental conditions analyzed) were found, highlighting: the higher the interocular differences, the lower the binocular summation and the poorer the stereopsis and, therefore, the worse the binocular visual performance. © 2023 by the authors.
"Zhao J.; Bao M.";0.0;A method for studying unconscious motion processing based on the camouflage principle;2022;Acta Psychologica Sinica;10.3724/SP.J.1041.2022.00725;The present study introduces a new continuous flash suppression (CFS) paradigm. We used the principle of alpha blending to keep the color of the target stimuli always consistent with that of the masking stimuli. We randomly recruited eight participants. Their dominant eyes were presented with the regular CFS masks. Meanwhile the non-dominant eyes were presented with ten spatially non-overlapping squares moving at a constant velocity. The results showed that the CFS masks in this new paradigm could efficiently block the conscious processing of the multiple moving targets. Furthermore, the breakthrough rate was the lowest when the colors of the targets were fully consistent with the colors of the CFS masks. This suggests that the new paradigm is more powerful than the traditional CFS paradigm in masking dynamic stimuli. Compared with the prevalent idea of modifying CFS masks, our method is believed to have broader applicability. Therefore, we recommend the new paradigm a useful tool for future investigations of unconscious visual motion information processing. © 2022 Chinese Psychological Society.
"Song F.; Lyu L.; Bao M.";0.0;Adaptation of Ocular Opponency Neurons Mediates Attention-Induced Ocular Dominance Plasticity;2023;Neuroscience Bulletin;10.1007/s12264-023-01103-z;Previous research has shown that ocular dominance can be biased by prolonged attention to one eye. The ocular-opponency-neuron model of binocular rivalry has been proposed as a candidate account for this phenomenon. Yet direct neural evidence is still lacking. By manipulating the contrast of dichoptic testing gratings, here we measured the steady-state visually evoked potentials (SSVEPs) at the intermodulation frequencies to selectively track the activities of ocular-opponency-neurons before and after the “dichoptic-backward-movie” adaptation. One hour of adaptation caused a shift of perceptual and neural ocular dominance towards the unattended eye. More importantly, we found a decrease in the intermodulation SSVEP response after adaptation, which was significantly greater when high-contrast gratings were presented to the attended eye than when they were presented to the unattended eye. These results strongly support the view that the adaptation of ocular-opponency-neurons contributes to the ocular dominance plasticity induced by prolonged eye-based attention. © 2023, Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences.
"Nikiforova M.S.; Cowell R.A.; Huber D.E.";0.0;Gestalt formation promotes awareness of suppressed visual stimuli during binocular rivalry;2023;Visual Cognition;10.1080/13506285.2023.2192991;Continuous flash suppression leverages binocular rivalry to render observers unaware of a static image for several seconds. To achieve this effect, rapidly flashing noise masks are presented to the dominant eye while a static stimulus is presented to the non-dominant eye. Eventually “breakthrough” occurs, wherein awareness shifts to the static image shown to the non-dominant eye. We tested the hypothesis that Gestalt formation can promote breakthrough. In two experiments, we presented pacman-shaped objects that might or might not align to form illusory Kanizsa objects. To measure the inception of breakthrough, observers were instructed to press a key at the moment of partial breakthrough. After pressing the key, which stopped the trial, observers reported how many pacmen were seen and where they were located. Supporting the Gestalt hypothesis, breakthrough was faster when the pacmen were aligned and observers more often reported pairs of pacmen if they were aligned. To address whether these effects reflected illusory shape perception, a computational model was applied to the pacman report distributions and breakthrough times for an experiment with four pacmen. A full account of the data required an increased joint probability of reporting all four pacmen, suggesting an influence of a perceived illusory cross. © 2023 Informa UK Limited, trading as Taylor & Francis Group.
"Chen Y.; Gao Y.; He Z.; Sun Z.; Mao Y.; Hess R.F.; Zhang P.; Zhou J.";0.0;Internal neural states influence the short-term effect of monocular deprivation in human adults;2023;eLife;10.7554/eLife.83815;The adult human visual system maintains the ability to be altered by sensory deprivation. What has not been considered is whether the internal neural states modulate visual sensitivity to short-term monocular deprivation. In this study we manipulated the internal neural state and reported changes in intrinsic neural oscillations with a patched eye open or closed. We investigated the influence of eye open/eye closure on the unpatched eye’s contrast sensitivity and ocular dominance (OD) shifts induced by short-term monocular deprivation. The results demonstrate that internal neural states influence not only baseline contrast sensitivity but also the extent to which the adult visual system can undergo changes in ocular dominance. © 2023, eLife Sciences Publications Ltd. All rights reserved.
